Date,Open,High,Low,Close,Volume
2018-01-01,10000.0,10129.730783905958,9804.762839327457,10041.074450976268,9695391
2018-01-02,10206.537609943625,10314.516484097889,10096.309991179756,10194.089693318701,1581720
2018-01-03,9758.13287439045,9854.528466622563,9651.838843002304,9777.123356786671,6237647
2018-01-04,9442.893587577937,9451.470419468174,9330.748400868737,9426.169937918588,7129388
2018-01-05,9719.987182942737,9858.384713401036,9691.764198574332,9758.372309985592,5548456
2018-01-08,9473.71252797368,9513.491472867394,9324.792210095731,9458.284776530441,7659939
2018-01-09,9802.103157688396,9927.874723634657,9747.277606576856,9816.47937820822,7402308
2018-01-10,10011.747560176276,10145.62561640307,9832.404177072094,10098.333915583176,2389422
2018-01-11,10148.355373713712,10305.245210767087,10057.728607967329,10229.556781862842,1786049
2018-01-12,9612.032399297867,9691.086010472152,9495.823523504847,9633.635558109021,1705373
2018-01-15,8902.276358336434,8942.999247016263,8833.225424317478,8825.53559787172,2203934
2018-01-16,8696.13240101362,8706.73637345315,8588.46583246565,8666.13329654473,8132649
2018-01-17,8643.997975097882,8810.038517578398,8562.850676293197,8576.328006897576,6488983
2018-01-18,8096.339331685878,8104.435350476748,7983.362246998579,8116.459204465811,9780752
2018-01-19,8573.51004988332,8589.19496208907,8526.83071995641,8493.647340412006,3051280
2018-01-22,8775.405029221743,8904.62690092986,8743.040736690014,8753.075841724185,4139038
2018-01-23,8717.082425310286,8817.874309393652,8571.565538008283,8730.714231291755,9945670
2018-01-24,8643.113326452492,8751.613667134336,8479.543047372283,8595.79196991951,9421309
2018-01-25,8257.039626335536,8261.951817014537,8200.193394795238,8244.094985095984,5498230
2018-01-26,8374.986162016281,8465.908185289985,8255.336273582003,8352.920153329553,9501007
2018-01-29,8485.587946264463,8572.731897485295,8479.215436062834,8517.310101754374,4073179
2018-01-30,8575.752537772536,8581.491998012643,8458.924149650884,8652.967106214352,4121049
2018-01-31,8623.05981618681,8665.22216186229,8521.152188950342,8591.61138761701,1674120
2018-02-01,8858.000589518111,8927.008690295721,8758.176746681273,8851.98861621787,8793018
2018-02-02,8861.509364977073,9026.792402340392,8828.279366673087,8927.698708795042,9990511
2018-02-05,8656.135040468815,8742.837132965533,8562.229711761633,8704.030180345848,2146395
2018-02-06,8418.89539520607,8504.388226108176,8361.793716283726,8402.607364768308,8073182
2018-02-07,8250.835782921724,8380.5270586749,8164.69052237619,8280.196179488661,3700680
2018-02-08,8451.897325735019,8496.62253322142,8423.65329118081,8417.010593507468,8612042
2018-02-09,8490.77341406157,8651.16436307982,8402.349452784547,8511.026550664636,4889380
2018-02-12,8628.305588748863,8670.53412827026,8521.209489933479,8690.415439635488,9650613
2018-02-13,8835.683555036072,8845.738193456253,8710.576703045364,8905.460095138147,2790439
2018-02-14,9171.547655209726,9222.714006115593,9113.605868639737,9150.138773066536,2120931
2018-02-15,9210.756185401213,9267.68828606066,9079.814728336256,9182.815200361436,5133914
2018-02-16,9184.815608110111,9342.985947877685,9091.559280442845,9133.861587067482,3684697
2018-02-19,8987.6610129073,8996.817940671075,8888.44426138592,8953.232504525979,9642483
2018-02-20,9240.76638301497,9384.950252031109,9223.942963697531,9183.262574316786,4868845
2018-02-21,9119.498736065701,9268.718468465519,9008.310915584081,9152.291614545546,9664223
2018-02-22,8886.858402063624,9048.313897757707,8822.51124045411,8800.052173848786,2614008
2018-02-23,8951.928436036147,8956.592818607667,8948.512104548025,8980.383999958596,4933679
2018-02-26,9248.21964483515,9402.6963206975,9167.803819648378,9269.111644186438,6448133
2018-02-27,9155.096257118637,9288.387607408658,9046.742668804049,9080.862755444357,7462013
2018-02-28,9168.20332957822,9346.13176248745,9073.189401924104,9213.65376471327,5051557
2018-03-01,8995.694108104995,9016.706340765671,8891.028485104418,9033.521360970823,1166965
2018-03-02,9121.434835628897,9186.033443589424,9110.466069671284,9205.611242044399,8736001
2018-03-05,8332.375197080684,8368.735440817432,8281.31590625357,8381.76871497041,4068736
2018-03-06,8698.774021824935,8822.31108653916,8668.106029269578,8682.891457851441,3798653
2018-03-07,8814.610835041181,8852.511584382004,8732.946323765142,8852.615398919885,4009874
2018-03-08,9226.898247546824,9284.598817690257,9156.224434739363,9176.542174818993,8872456
2018-03-09,9521.158138013498,9641.865696176352,9400.165102039544,9510.068668671514,6086844
2018-03-12,9615.98071997292,9798.187920220476,9592.214620534158,9634.003200405139,8074649
2018-03-13,9393.120416974358,9564.19441618084,9217.146911137912,9445.826556998112,8616568
2018-03-14,9713.78313922765,9820.641176826915,9534.480654973038,9713.797827642036,9267606
2018-03-15,9538.206452811255,9590.897390194552,9503.316551367487,9453.440087997158,4783212
2018-03-16,9779.715444609701,9932.963872975006,9675.549523829523,9728.921001091365,9273313
